"","all_trips_v2$member_casual","all_trips_v2$month","all_trips_v2$ride_length"
"1","casual","01",2090.39559688226
"2","member","01",726.403710004939
"3","casual","02",1780.81718696003
"4","member","02",689.034317848043
"5","casual","03",2149.04650576512
"6","member","03",727.316520780291
"7","casual","04",1956.87889537581
"8","member","04",707.942104354362
"9","casual","05",1983.327768455
"10","member","05",816.719488166388
"11","casual","06",2360.58978254039
"12","member","06",881.933328566499
"13","casual","07",2057.6599081285
"14","member","07",852.384899213611
"15","casual","08",1790.06389017371
"16","member","08",839.742215919952
"17","casual","09",1744.04143827276
"18","member","09",818.665804610128
"19","casual","10",1874.36792564444
"20","member","10",756.04353768122
"21","casual","11",1545.24440453501
"22","member","11",693.328395597459
"23","casual","12",1596.25531030312
"24","member","12",667.524522676772
